kappa,amp,variance
0.0,0.0018839911983301349,0.31675558167173984
0.10115940431674367,0.0044353722305805095,0.32047171390638496
0.20231880863348733,0.004985354167323926,0.3212397845835775
0.303478212950231,0.010140702717781573,0.3198794733347828
0.40463761726697467,0.008712846171648433,0.31601820111086854
0.5057970215837183,0.006984724617585169,0.3178360925677827
0.606956425900462,0.006796596943926783,0.32591593279642955
0.7081158302172056,0.0018612992618834425,0.32058779026149103
0.8092752345339493,0.013382260441479627,0.3297673637591262
0.910434638850693,0.02183281058296633,0.32986019859978954
1.0115940431674366,0.676986289386839,0.7648415259274806
1.1127534474841803,1.7853502106123729,3.513972570058353
1.213912851800924,2.587494844598134,7.213382957605788
1.3150722561176675,1.9223344309340987e8,3.882149754697095e16
1.4162316604344112,5.0561014435566944e20,2.671696289474078e41
1.517391064751155,2.693114698549398e33,7.565332305792381e66
1.6185504690678987,3.635873483886575e46,1.3765153638390766e93
1.7197098733846423,1.5811903165980647e59,2.5990226241163405e118
1.820869277701386,1.7437874198626281e72,3.152901146842696e144
1.9220286820181296,5.098910188297044e85,2.6879229145823026e171
2.0231880863348732,3.098184401866709e98,9.912011196949447e196
